crop,initial_probability,initial_entropy,first_observable,greedy_conditional_voi,best_static_observables,best_static_voi,random_static_mean_voi,confidence_observables,confidence_static_voi,greedy_gain_over_random
apple,0.045454545454545456,0.26676498780302604,P,0.20710820751194084,P+humidity,0.20710820751194084,0.10302039374301708,P+K,0.11594966123397532,0.10408781376892376
banana,0.045454545454545456,0.26676498780302604,P,0.2578699660665553,N+P,0.2578699660665553,0.11100951594769864,P+K,0.11594966123397532,0.14686045011885668
blackgram,0.045454545454545456,0.26676498780302604,K,0.09633088114146249,P+K,0.09378322324220223,0.07048671887463072,K+N,0.08330812870246657,0.02584416226683177
chickpea,0.045454545454545456,0.26676498780302604,K,0.26676498780302604,K+humidity,0.26676498780302604,0.11439037985127569,ph+K,0.14325564959388892,0.15237460795175034
coconut,0.045454545454545456,0.26676498780302604,K,0.1669657173767497,K+humidity,0.1669657173767497,0.10288780445315793,K+humidity,0.1669657173767497,0.06407791292359177
coffee,0.045454545454545456,0.26676498780302604,K,0.15190321517766536,N+humidity,0.16893444334184682,0.10334916985554903,K+N,0.15190321517766536,0.04855404532211634
cotton,0.045454545454545456,0.26676498780302604,N,0.15994501024750168,N+K,0.15994501024750168,0.09124788891468764,N+humidity,0.1126288660139339,0.06869712133281404
grapes,0.045454545454545456,0.26676498780302604,P,0.15005674549264308,K+humidity,0.15316429815395888,0.08905050403202462,P+K,0.11594966123397532,0.06100624146061846
jute,0.045454545454545456,0.26676498780302604,rainfall,0.1293134519762514,P+rainfall,0.1293134519762514,0.08895721513305464,rainfall+K,0.09978496413092136,0.040356236843196766
kidneybeans,0.045454545454545456,0.26676498780302604,ph,0.14680313714732263,humidity+ph,0.14680313714732263,0.09096629069894921,ph+humidity,0.14680313714732263,0.05583684644837342
lentil,0.045454545454545456,0.26676498780302604,rainfall,0.11627286433603326,P+rainfall,0.11627286433603326,0.06830425694861232,rainfall+K,0.11422033071380122,0.04796860738742094
maize,0.045454545454545456,0.26676498780302604,P,0.10199034961024311,N+K,0.11188463917293237,0.06880892352979762,P+K,0.0808366203269966,0.0331814260804455
mango,0.045454545454545456,0.26676498780302604,K,0.17232044591110784,K+rainfall,0.17232044591110782,0.11374949233129472,K+rainfall,0.17232044591110782,0.05857095357981312
mothbeans,0.045454545454545456,0.26676498780302604,humidity,0.1390552508126901,humidity+rainfall,0.1390552508126901,0.09269953246275202,ph+humidity,0.10103082971665561,0.04635571834993808
mungbean,0.045454545454545456,0.26676498780302604,rainfall,0.1204793364239587,P+rainfall,0.1204793364239587,0.08619936688409534,rainfall+P,0.1204793364239587,0.034279969539863356
muskmelon,0.045454545454545456,0.26676498780302604,K,0.1710440111326252,N+humidity,0.18895271496499697,0.127492288116474,K+N,0.13717351683199527,0.043551723016151206
orange,0.045454545454545456,0.26676498780302604,humidity,0.20561258821166395,P+K,0.211839133439695,0.09604469618478506,ph+humidity,0.12255380948154804,0.10956789202687889
papaya,0.045454545454545456,0.26676498780302604,K,0.13535441314241378,P+humidity,0.1517945414733941,0.0935424081715871,K+humidity,0.12643245028292543,0.04181200497082668
pigeonpeas,0.045454545454545456,0.26676498780302604,humidity,0.11274917393582956,humidity+rainfall,0.11053601208921918,0.0673220784350209,humidity+rainfall,0.11053601208921918,0.04542709550080866
pomegranate,0.045454545454545456,0.26676498780302604,humidity,0.14091382390125567,K+humidity,0.14091382390125567,0.09314467525457931,humidity+P,0.10850215733365068,0.04776914864667636
rice,0.045454545454545456,0.26676498780302604,rainfall,0.15818255058040318,humidity+rainfall,0.15818255058040318,0.08923624932508845,rainfall+K,0.10328189432282678,0.06894630125531473
watermelon,0.045454545454545456,0.26676498780302604,K,0.1710440111326252,P+K,0.17104401113262524,0.11919691486871298,K+N,0.13717351683199527,0.051847096263912235
